FirstName,LastName,Department,Title,Username,Manager,Contractor,Remote
Charlotte,Bronte,IT,Systems Administrator,cbronte,it.manager,FALSE,FALSE
Sara,J Maas,Finance,Financial Analyst,sjmaas,finance.manager,FALSE,TRUE
Brandon,Sanderson,Legal,Compliance Analyst,bsandrson,legal.manager,FALSE,FALSE
Rivers,Solomon,HR,HR Specialist,rsolomon,hr.manager,TRUE,TRUE
Toni,Morrison,Sales,Sales Representative,tmorrison,sales.manager,FALSE,TRUE
Madeline,Miller,IT,Network Administrator,mmiller,it.manager,FALSE,FALSE
Pierce,Brown,Finance,Accountant,pbrown,finance.manager,FALSE,TRUE
Jane,Austen,Legal,Paralegal,jausten,legal.manager,FALSE,FALSE
George,Orwell,HR,Recruiter,gorwell,hr.manager,FALSE,TRUE
Virginia,Woolf,Sales,Account Executive,vwoolf,sales.manager,TRUE,TRUE
James,Baldwin,IT,Help Desk Technician,jbaldwin,it.manager,FALSE,FALSE
Octavia,Butler,Finance,Budget Analyst,obutler,finance.manager,FALSE,TRUE
Ursula,Le Guin,Legal,Legal Assistant,uleguin,legal.manager,FALSE,FALSE
Neil,Gaiman,HR,HR Coordinator,ngaiman,hr.manager,TRUE,TRUE
N K,Jemisin,Sales,Sales Operations Analyst,nkjemisin,sales.manager,FALSE,TRUE
Brandon,Mull,IT,Cloud Administrator,bmull,it.manager,FALSE,FALSE
Robin,Hobb,Finance,Financial Systems Analyst,rhobb,finance.manager,FALSE,TRUE
Leigh,Bardugo,Legal,Contract Specialist,lbardugo,legal.manager,FALSE,FALSE
Naomi,Novik,HR,Benefits Specialist,nnovik,hr.manager,TRUE,TRUE
V E,Schwab,Sales,Business Development Representative,veschwab,sales.manager,FALSE,TRUE
Erin,Morgenstern,IT,Security Analyst,emorgenstern,it.manager,FALSE,FALSE
Susanna,Clarke,Finance,Financial Analyst,sclarke,finance.manager,FALSE,TRUE
Madeline,LEngle,Legal,Legal Operations Specialist,mlengle,legal.manager,FALSE,FALSE
Lois,Lowry,HR,People Operations Analyst,llowry,hr.manager,TRUE,TRUE
Suzanne,Collins,Sales,Sales Representative,scollins,sales.manager,FALSE,TRUE
Veronica,Roth,IT,Systems Administrator,vroth,it.manager,FALSE,FALSE
Rick,Riordan,Finance,Accountant,rriordan,finance.manager,FALSE,TRUE
Stephen,King,Legal,Compliance Analyst,sking,legal.manager,FALSE,FALSE
Terry,Pratchett,HR,HR Specialist,tpratchett,hr.manager,TRUE,TRUE
Douglas,Adams,Sales,Account Executive,dadams,sales.manager,FALSE,TRUE
Frank,Herbert,IT,Network Administrator,fherbert,it.manager,FALSE,FALSE
Isaac,Asimov,Finance,Budget Analyst,iasimov,finance.manager,FALSE,TRUE
Ray,Bradbury,Legal,Paralegal,rbradbury,legal.manager,FALSE,FALSE
Philip,Dick,HR,Recruiter,pdick,hr.manager,TRUE,TRUE
Margaret,Atwood,Sales,Sales Operations Analyst,matwood,sales.manager,FALSE,TRUE
Kazuo,Ishiguro,IT,Help Desk Technician,kishiguro,it.manager,FALSE,FALSE
Haruki,Murakami,Finance,Financial Systems Analyst,hmurakami,finance.manager,FALSE,TRUE
Khaled,Hosseini,Legal,Contract Specialist,khosseini,legal.manager,FALSE,FALSE
Zadie,Smith,HR,Benefits Specialist,zsmith,hr.manager,TRUE,TRUE
Colson,Whitehead,Sales,Sales Representative,cwhitehead,sales.manager,FALSE,TRUE
Jesmyn,Ward,IT,Cloud Administrator,jward,it.manager,FALSE,FALSE
Nnedi,Okorafor,Finance,Financial Analyst,nokorafor,finance.manager,FALSE,TRUE
Tommy,Orange,Legal,Legal Assistant,torange,legal.manager,FALSE,FALSE
Ocean,Vuong,HR,HR Coordinator,ovuong,hr.manager,TRUE,TRUE
Celeste,Ng,Sales,Account Executive,cng,sales.manager,FALSE,TRUE
Ann,Patchett,IT,Security Analyst,apatchett,it.manager,FALSE,FALSE
Donna,Tartt,Finance,Accountant,dtartt,finance.manager,FALSE,TRUE
Anthony,Doerr,Legal,Compliance Analyst,adoerr,legal.manager,FALSE,FALSE
Amor,Towles,HR,HR Specialist,atowles,hr.manager,TRUE,TRUE
Fredrik,Backman,Sales,Business Development Representative,fbackman,sales.manager,FALSE,TRUE
Sally,Rooney,IT,Systems Administrator,srooney,it.manager,FALSE,FALSE
Emily,Henry,Finance,Financial Analyst,ehenry,finance.manager,FALSE,TRUE
Taylor,Jenkins Reid,Legal,Contract Specialist,tjenkinsreid,legal.manager,FALSE,FALSE
Casey,McQuiston,HR,Recruiter,cmcquiston,hr.manager,TRUE,TRUE
TJ,Klune,Sales,Sales Representative,tjklune,sales.manager,FALSE,TRUE
Andy,Weir,IT,Cloud Administrator,aweir,it.manager,FALSE,FALSE
Martha,Wells,Finance,Budget Analyst,mwells,finance.manager,FALSE,TRUE
Becky,Chambers,Legal,Paralegal,bchambers,legal.manager,FALSE,FALSE
James,Corey,HR,HR Coordinator,jcorey,hr.manager,TRUE,TRUE
Joe,Abercrombie,Sales,Account Executive,jabercrombie,sales.manager,FALSE,TRUE
Scott,Lynch,IT,Network Administrator,slynch,it.manager,FALSE,FALSE
Samantha,Shannon,Finance,Financial Systems Analyst,sshannon,finance.manager,FALSE,TRUE
Ken,Follett,Legal,Legal Operations Specialist,kfollett,legal.manager,FALSE,FALSE
Michael,Connelly,HR,HR Specialist,mconnelly,hr.manager,TRUE,TRUE
Lee,Child,Sales,Sales Operations Analyst,lchild,sales.manager,FALSE,TRUE
